язык,идиомы,"ʃ,ʒ","ɕ,ʑ","ŝ,ẑ","sʲ, zʲ"
адыгейский,бжедугский,+,+,+,—
адыгейский,темергоевский,+,+,+,—
кабардинский,бесленеевский,+,+,+,—
кабардинский,"кубано-зеленьчукские (Жако, Инджиджишхо)",+,—,+,—
адыгейский,шапсуги,—,+,+,—
адыгейский,хакучинский,—,+,+,—
кабардинский,большинство кабардинских,—,+,+,—
кабардинский,малкинский,—,+,—,+
кабардинский,"баксанские (Баксанёнок, Дыгулыбгей, Исламей)",—,+,—,+
