язык,идиомы,"tʃ,tʃ'","tɕ,tɕ',dʑ"
адыгейский,бжедугский,+,+
адыгейский,темергоевский,+,+
кабардинский,бесленеевский,+,+
адыгейский,шапсуги,—,+
адыгейский,хакучинский,—,+
кабардинский,"кубано-зеленьчукские (Жако, Инджиджишхо)",—,+
кабардинский,большинство кабардинских,—,+
